 20%|██        | 6/30 [29:01<1:56:58, 292.44s/it]
Step 39, Images [10000/10000 (100%)] Loss: 0.54 Accuracy: 7998/10000 (79.98%) Time: Thu Nov 28 20:11:38 2024
Epoch 14, Phase train
Step 124, Images [32000/50000 (64%)] Loss: 0.68 Accuracy: 25813/32000 (80.67%) Time: Thu Nov 28 20:14:06 2024
Step 195, Images [50000/50000 (100%)] Loss: 0.73 Accuracy: 40350/50000 (80.70%) Time: Thu Nov 28 20:15:28 2024
Epoch 14, Phase eval
Step 39, Images [10000/10000 (100%)] Loss: 0.54 Accuracy: 8025/10000 (80.25%) Time: Thu Nov 28 20:16:11 2024
Epoch 15, Phase train
Step 124, Images [32000/50000 (64%)] Loss: 0.56 Accuracy: 25948/32000 (81.09%) Time: Thu Nov 28 20:18:37 2024
Step 195, Images [50000/50000 (100%)] Loss: 0.39 Accuracy: 40374/50000 (80.75%) Time: Thu Nov 28 20:20:04 2024
Epoch 15, Phase eval
Step 39, Images [10000/10000 (100%)] Loss: 0.54 Accuracy: 8032/10000 (80.32%) Time: Thu Nov 28 20:20:53 2024
Epoch 16, Phase train
Step 124, Images [32000/50000 (64%)] Loss: 0.57 Accuracy: 25895/32000 (80.92%) Time: Thu Nov 28 20:23:34 2024
Step 195, Images [50000/50000 (100%)] Loss: 0.40 Accuracy: 40474/50000 (80.95%) Time: Thu Nov 28 20:25:00 2024
Epoch 16, Phase eval
Step 39, Images [10000/10000 (100%)] Loss: 0.53 Accuracy: 8020/10000 (80.20%) Time: Thu Nov 28 20:25:48 2024
Epoch 17, Phase train
Step 124, Images [32000/50000 (64%)] Loss: 0.58 Accuracy: 25844/32000 (80.76%) Time: Thu Nov 28 20:28:27 2024
Step 195, Images [50000/50000 (100%)] Loss: 0.52 Accuracy: 40448/50000 (80.90%) Time: Thu Nov 28 20:30:02 2024
Epoch 17, Phase eval
Step 39, Images [10000/10000 (100%)] Loss: 0.50 Accuracy: 8049/10000 (80.49%) Time: Thu Nov 28 20:30:53 2024
Epoch 18, Phase train
Step 124, Images [32000/50000 (64%)] Loss: 0.50 Accuracy: 25954/32000 (81.11%) Time: Thu Nov 28 20:33:29 2024
Step 195, Images [50000/50000 (100%)] Loss: 0.50 Accuracy: 40510/50000 (81.02%) Time: Thu Nov 28 20:35:00 2024
Epoch 18, Phase eval
Step 39, Images [10000/10000 (100%)] Loss: 0.53 Accuracy: 8052/10000 (80.52%) Time: Thu Nov 28 20:35:45 2024
Epoch 19, Phase train
Step 124, Images [32000/50000 (64%)] Loss: 0.59 Accuracy: 25884/32000 (80.89%) Time: Thu Nov 28 20:38:34 2024
Step 195, Images [50000/50000 (100%)] Loss: 0.42 Accuracy: 40482/50000 (80.96%) Time: Thu Nov 28 20:40:09 2024
Epoch 19, Phase eval
Step 39, Images [10000/10000 (100%)] Loss: 0.50 Accuracy: 8058/10000 (80.58%) Time: Thu Nov 28 20:40:54 2024
Epoch 20, Phase train
Step 124, Images [32000/50000 (64%)] Loss: 0.59 Accuracy: 25981/32000 (81.19%) Time: Thu Nov 28 20:43:38 2024
Step 195, Images [50000/50000 (100%)] Loss: 0.60 Accuracy: 40663/50000 (81.33%) Time: Thu Nov 28 20:45:13 2024
Epoch 20, Phase eval
Step 39, Images [10000/10000 (100%)] Loss: 0.52 Accuracy: 8073/10000 (80.73%) Time: Thu Nov 28 20:46:01 2024
👉 Running on device type: cuda:0
Files already downloaded and verified
Files already downloaded and verified
